org_mnemonic,fan_id,action_date,uphoria_page,uphoria_widget
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-13,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-20,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-24,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-14,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-19,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-20,Home,POLL_COMM_ROW
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-18,Home,POLL_COMM_ROW
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Event Day,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,More,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,More,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Event Day,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,GENERIC_PAGE_2,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Event Day,IMAGE_WIDGET
RICE,da9f3eab-d10a-4dbb-935e-7bfe10b3b6e3,2021-08-25,Splash Page,
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Tickets,IMAGE_WIDGET
RICE,b2935c82-f4c9-4ac3-83ef-91c3ca14454b,2021-08-25,Tickets,IMAGE_WIDGET
